,No.,Nombre común,Common name,,Nombre científico,Forma biológica/ Tipo de crecimiento,,Medidas (m),,,Follaje,,,Floración,,,Fruto (maduro),,,Tronco o tallo,,Hábitat,,Agua,Tasa de crecimiento,Persistencia de la hoja,Distribución Natural,Ecología,Usos,Observaciones,Mantenimiento general,,,,,,,,,,
,,,,Familia,,,Forma copa ,Altura,Copa θ/ Ancho,Tronco θ,Forma hojas,Borde o margen,Color,Forma,Color,Temporada,Morfología,Color,Temporada,Color,Textura,,,,,,,,,,Mantenimiento,Poda,Riego,Fertilización,Plagas y Enfermedades,Plantas de acompañamiento/ asociación vegetal,"Metodo de propagación (esquejes, semilla, clones, etc)",Recomendaciones de trasplantación,Raiz,Status: Red List IUCN,Categoría de riesgo NOM-059
,R," Ciruelo mexicano, yoyomo","Purple mombin, red mombin, Spanish plum, hog plum, scarlet plum (3).",Anacardiaceae,Spondias purpurea L. ,Árbol,Muy extendida (1).,De 3.00 a 8.00 m (hasta 15.00 m) (1). ,De 7.00-14.00 m (4).,Hasta 0.80 m Dap (1).," Compuestas, alternas, pinnada, de 10 a 20 cm de largo con 9 a 25 folíolos elípticos de 1.9 a 4 cm de largo (1).",Ligeramente ondulado (1).,Verde amarillento (1).,"Panículas finamente vellosas con pocas flores. Las flores son pequeñas, de 0.63 cm de diámetro; cáliz diminuto con 5 lóbulos y 5 pétalos (1).",Rojo o rosado (1).,Febrero-mayo (1).,"Drupa ovoide de 3 cm de largo por 1.5 de ancho, pulpa jugosa y agridulce, con un hueso de 0.50 a 0.75 cm de largo, grande, fibroso por fuera; contiene de 1 a 5 semillas (1).
",Rojo purpúreo o amarillo. Pulpa de color amarillo (1).,Mayo-julio (1).,Gris plomo a marrón verdoso (1).,"Rugoso,  muy ornamentada y con aspecto muy variable,  a veces con fisuras irregulares y protuberancias con textura de corcho pequeñas o en ocasiones muy grandes, que incluso pueden confundirse con espinas o costillas.(1).","Se le puede encontrar en potreros, acahuales, huertos familiares, pastizales. Suelos: pedregoso, somero, aluvial, amarillo arcilloso, roca caliza. Altitud: 0 a 1,000 m (1).",Pleno sol (1).,Moderado (*).,Lento (3).,Caducifolio (1).,"Especie de amplia distribución, principalmente en la vertiente del Pacífico y la mitad sur de la República Mexicana, desde Sonora hasta Oaxaca, Chiapas y Yucatán. Originaria de Mesoamérica. Se extiende desde México hasta Brasil y Perú, se le ha introducido a los trópicos del Viejo Mundo. Se le cultiva en el sur de Florida (Estados Unidos).","Dispersión: Zoócora. Entre los dispersores se han registrado a los siguientes animales: coyote, coatí, zorra gris, venado, chachalaca, iguana. Los frutos dispersados por iguanas son menos exitosos que los dispersados por venados. Algunas especies de mamíferos, aves y hormigas se alimentan de los frutos (1).","Uso principal en el huerto: fruta. Recuperación de terrenos degradados, para rehabilitar sitios donde hubo explotación minera, Cerca viva en los agrohábitats, sombra, refugio. La resina se utiliza en América Central para elaborar pegamentos y gomas, forraje, madera, etc. (1).","Exhibe una pobre tolerancia a suelos salinos, por lo que no se recomienda su plantación en zonas costeras tropicales (1). Posee resistencia a sequía mediante defoliación (2). Fruto conocido como jocote o Yoyomo.","Se adapta a una gran variedad de suelos, aún de baja fertilidad (4).","Tolera bien el corte o poda (1). La poda deberá hacerse para quitar las ramas largas o enfermas y poder generar la estimulación de las yemas, para un crecimiento óptimo y vigoroso (5).","El riego es necesario, ya que la sequía puede generarle estrés y, por ende, una falta de estimulo para iniciar la floración (5).","Las semillas germinan bien cuando son cubiertas con humus (1). El jocote demanda cierta cantidad de nutrientes que se vinculan con el desarrollo del mismo, el rendimiento y la calidad de la cosecha. La dosis del fertilizante será de acuerdo a la edad y el crecimiento de la especie (5).","Daño por insectos (semilla, fruto) (1). Presencia de la mosca de la fruta, la cual se infesta en los frutos maduros. Mientras que el follaje es susceptible a manchas por antracnosis causado por Spondiadis Sphaceloma (5).
","Acacia sp., Agave sp., Swietenia sp., Manilkara sp., Jacaratia sp., Talisia sp (1).","Asexual: Estacas o esquejes, cortes de tallo, acodos. Sexual: semillas (raramente puede propagarse por semilla) (1).
","Por lo menos un mes antes de su traslado al sitio de plantación se deberá iniciar el proceso de endurecimiento de las plantas, éste consiste en suspender la fertilización, las plantas deberán estar a insolación total, y los riegos se aplicarán alternadamente entre someros y a saturación, además de retirarlos durante uno o dos días. Esto favorecerá que las plantas presenten crecimiento leñoso en el tallo y ramas (6).",Profunda,LC (Menor preocupación),
,,1. http://www.conabio.gob.mx/conocimiento/info_especies/arboles/doctos/4-anaca6.pdf,2. http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73802012000500006,3. http://www.sabelotodo.org/agricultura/frutales/jocote.html,4. https://catalogofloravalleaburra.eia.edu.co/species/103,5. https://blog.gardencenterejea.com/cuidados-spondias-purpurea/,6. http://www.conafor.gob.mx:8080/documentos/docs/13/1003Spondias%20mombin.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arboles,R,"Cacaloxochitl, cacalosuchil, plumeria, frangipani, flor de mazapán",Frangipani,Apocynaceae,Plumeria rubra,Árbol ,Irregular y abierta,5.00-8.00 m (hasta 25.00 m),2.00-3.00 m,Hasta 0.70 m Dap,"Simples y dispuestas en espiral, aglomeradas en las puntas de las ramas; láminas de 15 a 30 cm de largo por 4 a 8 cm de ancho, oblanceoladas o elípticas, margen entero",Entero,Verde oscuro,"Actinomorfa (simetría radial), corimbosas (racimosa)","Blanco, amarillo, rosado",Marzo-noviembre," Folículos (vainas) de 25 a 30 cm de largo y 3 cm de diámetro, geminados, péndulos, glabras con numerosas semillas",Verde amarillento o verde anaranjado,Julio-marzo,Gris plomizo,Lisa,Prospera en regiones de clima cálido y más bien seco. Se encuentra tanto en suelos derivados de materiales ígneos como de origen calizo,"Pleno sol. No tolera mucho la sombra parcial, como consecuencia su floración será pobre.",Bajo a moderado.,Moderado a rápido,Caducifolio.  Los árboles pierden sus hojas en la época de floración y al principio de la fructificación (marzo- julio/agosto),"Especie originaria de Mesoamérica; se extiende de México a Ecuador, Perú y Brasil.","Polinizada por insectos.  Las flores son visitadas por abejas, mariposas y otros insectos. Las semillas son dispersadas por el viento.","Ornamental, cerca viva, barrera rompevientos, base para hacer chicles, en Hawai se usa para hacer collares de bienvenida, cosmetico, medicinal", Los árboles pierden sus hojas en la época de floración y al principio de la fructificación.,"Tendencia a pudrirse si están plantadas en un sustrato muy compacto, por lo que es muy recomendable mezclar turba negra y perlita a partes iguales, y poner una primera capa de greda volcánica de unos 3cm ",No suelen tener necesidades de poda (aunque sí es preciso eliminar las partes dañadas).,"Moderado: Regar 2 veces por semana en verano, y 1-2/semana el resto del año. Aplicar riego ligero durante el invierno. OJO: dejar de regar cuando las hojas hayan caido,  regar mientras la planta está inactiva es la principal causa de muerte de Plumeria","Abonarla durante toda la temporada de crecimiento -desde primavera hasta comienzos de otoño- con un fertilizante orgánico líquido, como guano por ejemplo. NPK", Daño por insectos (hojas). Las orugas continuamente destruyen el follaje. El peor enemigo de estas plantas es una excesiva humedad ambiental. Manchas oscuras en la cara inferior de las hojas : cochinilla algodonosa y cochinilla lepidina. ,Se puede combinar con pequeños arbustos perennes que contrasten con las ramas sin hojas pero con flores de los periodos desfavorables de Plumeria rubra,"Semillas (raramente), estacas o esquejes"," Se recomienda en invierno. Colocarlos en arena con escasa humedad, ya que la planta muestra facilidad a pudrirse. También sirve impregnar su base con hormonas enraizantes y plantarlos en perlita o, mejor, vermiculita.
","Extendidas (Superficiales): Fasciculada, no muy larga. No hay indicios de daños a las infraestructuras",LC (Menor preocupación),
,,http://www.conabio.gob.mx/conocimiento/info_especies/arboles/doctos/6-apocy2m.pdf,http://www.jardinbotanico.uma.es/bbdd/index.php/jb-31-02/,https://www.jardineriaon.com/como-se-cuida-la-extraordinaria-planta-plumeria-rubra.html,http://www.consultaplantas.com/index.php/plantas-por-nombre/plantas-de-la-m-a-la-r/640-cuidados-de-la-planta-plumeria-rubra-plumaria-o-frangipan,http://plantas.facilisimo.com/ficha-de-la-plumeria_811766.html,,http://www.tropicamango.com/plumeria.html,https://www.baobabs.com/es/Plumeria-es.htm,file:///C:/Users/Biblio/Downloads/PlumeriaRubra%20(1).pdf,http://ctfs.si.edu/webatlas/findinfo.php?specid=6359&leng=spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,"Palma negra, palma de tlaco, palmilla","Brandegee palm, San José hesper palm ",Arecaceae,Brahea brandegeei,Arbórea,Palmiforme,Hasta 15.00 m,6.00 m,0.3-0.4 m,Costapalmado,Entero con cilios alargados,Verde con el envés verde glauco,Se encuentran entre las hojas,Blanco crema,Diciembre-marzo,Oblongo globoso,Marrón brillante,Marzo,Marrón grisáceo,"Cultivado: liso y desnudo, Naturaleza: con las hojas adheridas","Pendientes, áreas montañosas y desérticas",Pleno sol,Moderado,Lento-moderado (0.3 m por año aproximadamente),Perennifolio,Originaria de las zonas semiáridas de México noroccidental (Baja California y Sonora),"En estado silvestre, en el estípite (tronco) permanecen adheridas las hojas durante mucho tiempo, formándose un refugio ideal para aves y murciélagos. ","1.Ornamental, 2.Produce frutos comestibles con sabor similar a los dátiles, 3.Hojas y tronco empleados para la construcción, 4.uso de paisaje tropical, sombra y belleza, 5.Escobas y cestas.","1.Fruto comestible (conocido comunmente como ¨taco¨, 2.Se suele confundir con Washingtonia robusta, por ello no es tan comercializada como ésta, 3.El color verde glauco en el envés, permite distinguirla de las otras especies del género, 4.En estado silvestre, en el estípite (tronco) permanecen adheridas las hojas durante mucho tiempo, mientras que cuando son cultivadas es liso ","Debido a que las raíces de la palmera se extienden lejos del tronco real o de los múltiples tallos de la planta, la fertilización y el riego deben realizarse principalmente en la base del tronco.",Retire las hojas viejas ,Poco: Aplique el agua en profundidad pero con poca frecuencia,Dispersa el fertilizante granular a lo largo y ancho del perímetro de la palmera para que los nutrientes lleguen a las raíces a diferentes distancias desde el tronco.,Resistente a la podredumbre de la raíz ,Ruellia indica,Semilla,"1.Riega el día antes para que la tierra esté húmeda y no se desmorone al sacarla, 2.Ata las palmas para poder trabajar con comodidad en la base, 3.Excava una zanja alrededor, profundizando hasta dejar el cepellón suelto,
4.Envuelve el cepellón en un plástico duro, tela de arpillera, etc. para poder extraerla y moverla sin que se rompa dicho cepellón y no queden las raíces peladas, ""desnudas"",5. Plántala lo antes posible en otro lugar o en un macetón grande.",Medianamente profundas: Fibrosas y extendidas con poca profundidad,LC (Menor preocupación),A
,R,"Palma real, palma blanca, sabal azul (2).","Bull thatch palm, Sonora palmetto (2).",Aracaceae,Sabal uresana ,Arbórea,Palmiforme,Hasta 15.00 m (1).,No más de 10.00 m (2).,Hasta 0.40 m (1).,Costapalmado (1).,Entero con cilios alargados,Verde azulado (2). Color plateado a casi blanco desde la distancia (4).,"La inflorescencia es arqueada, alcanzando la longitud de las hojas (1).",Blanco (8).,Aparecen en verano (junio/julio) (10).,Redondeado (8).,Marrón brillante (8).,Agosto/septiembre,Marrón oscuro (3).,Rugoso,Su hábitat natural es el desierto de Sonora en las estribaciones de la Sierra Madre Occidental en México (1). Dispersos en bosques de espinos y robles a lo largo de cursos de agua (3).,Pleno sol (5).,Moderado (4).,Lento (2).,Perennifolio (4).,México,"Frutos son consumidos por algunos animales como coyotes, zorros y gatos. Las larvas del escarabajo bruchit del género Caryobruchus (Bruchidae: Pachymerinae) se alimentan de semillas de Sabal, y los escarabajos adultos se alimentan del néctar floral (9).",Ornamental. Las hojas de palmera se usaban tradicionalmente para tejer canastas (3). Adecuado para xeriscaping (4). Para techar y hacer escobas. Los troncos de palma se usan para la construcción y los frutos se consumen en ciertas partes del estado (6). ,"Los viejos especímenes parecen más verdes. Sabal: nombre genérico de origen desconocido, quizás basado en un nombre vernáculo, uresana: epíteto geográfico que se refiere a Ures, Sonora, una localidad donde se localiza​ (1). Una característica de identificación es que los pecíolos son suaves y se extienden hasta las hojas azuladas (3).",Suelo arenoso profundo (5). Fáciles de cultivar que requieren poco cuidado (7).,Retire las hojas viejas ,"Regar regularmente, no regar en exceso (4).","Coloque mantillo grueso durante los meses de invierno. Suministre nutrientes. Fertilizar con moderación a por lo menos 6 pulgadas de distancia de la base, cada tres años con productos de liberación lenta. Sin fertilizar, tienden a crecer a un ritmo más lento. Nota:  Las sales pesadas en fertilizantes más baratos dañarán las raíces y posiblemente matarán al árbol. Se recomienda utilizar una marca conocida y confiable (7). Fertilice las plantas jóvenes anualmente a fines de la primavera con cualquier fertilizante de palma designado (11).",Ninguna,Se puede combinar con pequeños arbustos perennes que contrasten ,Semilla,"Planta a finales de primavera y durante todo el verano. La palmera de Texas falla rápidamente cuando se planta en suelos frescos. Texas palmetto se transplanta fácilmente cuando es joven (con dos o tres hojas) o después de que haya comenzado a mostrar un tronco. De lo contrario, es difícil trasplantar con éxito. Elija un sitio a pleno sol o sombra filtrada con luz, con suficiente espacio para el desarrollo de las hojas y un amplio espacio vertical (10).",Profunda (5).,VU (Vulnerable),
,,1. https://www.naturalista.mx/taxa/206953-Sabal-uresana,2. http://www.palmerasyjardines.com/index.php/es/palmeras/guia-especies/details/28/67-sabal-uresana,3. http://www.palmpedia.net/wiki/Sabal_uresana,4. https://davesgarden.com/guides/pf/go/68751/#b,5. https://www.tropicalbritain.co.uk/sabal-uresana.html,6. http://agris.fao.org/agris-search/search.do?recordID=US19970062460,7. https://urbanpalms.com/product/silver-sonoran-palmetto-palm-tree-sabal-uresana/,8. http://www.medipalm.com/palmeras/1015-sabal-uresana.html,9. https://books.google.com.mx/books?id=tvk5FN3L-Q0C&pg=PA349&lpg=PA349&dq=Sabal+uresana&source=bl&ots=7UOeTIE_ZY&sig=ACfU3U2udGJ00vDsSwNMm5aTKRmatCN7Bw&hl=es&sa=X&ved=2ahUKEwjf5JWRgpXhAhVK5oMKHQ4eBVs4FBDoATAFegQICRAB#v=onepage&q=Sabal%20uresana&f=false,10. http://www.palmpedia.net/wiki/Sabal_riverside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,http://www.palmerasyjardines.com/index.php/es/palmeras/guia-especies/details/28/9-brahea-brandegeei,http://www.photomazza.com/?Brahea-brandegeei&lang=es,http://www.arteyjardineria.com/2014/04/brahea-edulis-palmera-de-guadalupe.html,http://www.palmpedia.net/wiki/Brahea_brandegeei,https://selectree.calpoly.edu/tree-detail/brahea-brandegeei,,https://www.rarepalmseeds.com/pix/BraBra.shtml,http://www.public.asu.edu/~camartin/plants/Plant%20html%20files/braheabrandegeei.html,https://apps.cals.arizona.edu/arboretum/taxon.aspx?id=478,http://abepyc.com/transplante/,,http://www.entomologia.socmexent.org/revista/entomologia/2014/CB/059.pdf,http://www.ehowenespanol.com/raices-palmeras-son-grandes-partes-superiores-info_577010/,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,Palma de abanico del desierto,"Mexican fan palm, sky duster, petticoat palma",Arecaceae,Washingtonia robusta,Arbórea,Palmiforme,Más de 20.00 m,2.00 - 3.00 m,"0.60 m Dap, hasta 1 m en la base","Abanico. Costapalmadas muy grandes (1.5 m de ancho o más),  divididas en más de 50 segmentos",Entero con cilios alargados,"Verde intenso, peciolo marrón-rojizo","Inconspicuo, flores perfectas","Blanco, color beige claro a rosa pálido.",Finales de primavera hasta principios de verano (Junio-Agosto),Frutos globosos (drupa),Negro,"Junio-agosto
Finales de primavera hasta principios de verano","Grisáceo en la parte más vieja, de color marrón rojizo en la más joven","Rugoso: Áspero con espinas, corona de hojas grandes, cicatrices de hojas","Aparece en regiones desérticas montañosas, principalmente en gargantas y valles donde puedan encontrar agua. Zonas semi-desérticas al fondo de los cañones, donde el agua está presente, o cerca de fuentes naturales.",Pleno sol,Bajo a moderado.,Rápido,Perennifolio,Noroeste de México," Son refugios importantes de fauna y enriquecen la biodiversidad del desierto. Otros sitios son colonizados a través del transporte de semillas, principalmente por coyotes, aves y otros animales que se alimentan de sus frutos.","Frutos como alimento, semillas para hacer harinas, gran valor ornamental. Las flores, frutos y yemas vegetativas son utilizadas como alimento, la madera sirve como leña y para
construir algunos utensilios caseros. ",Se adapta a todo tipo de suelos incluso a los muy pobres. Cuando es trasplantada se recupera muy rápidamente.  Parecidas a la W. filifera pero con el tronco mas esbelto. No se suele adaptar como planta de interior. Raiz: Fibrosa y superficial ,"Suelo bien drenado. No soporta el exceso de humedad (exceso de agua provoca putrefacción). Especie rústica que tolera muy bien el trasplante y la falta de agua, así como suelos pobres. Es conveniente realizar deshierbes frecuentes para evitar plantas indeseables que compitan por agua, nutriementos o luz.","Se pueden quitar las hojas secas en otoño. No se aconseja hacerlo en primavera ni mucho menos en verano por el elevado riesgo de que la planta se vea atacada por picudo o paysandisia. Si se vive en una zona con clima suave o cálido, hay que esperar a que bajen las temperaturas y acordarse de sellar la herida con pasta cicatrizante.",Poco: Requiere riego en verano para desarrollarse convenientemente.,Bajo abonado. Añadir un fertilizante orgánico coincidiendo con el abonado anual del jardín.,"Resistente a la podredumbre de la raíz de Texas. Susceptible a los barrenadores de escarabajos. Graphiola phoenicius, puntos obscuros en ambas caras de la superficie del limbo de la hoja. Botryosphaera dothidea, es un patógeno no específico. Picudo rojo
"," Planta de cobre, montículo de oro, arboricola, Clusia guttifera, Selloum philodendron, rosa de Panamá y Jatropha.",Semillas,Trasplante con un gran cepellón para garantizar la supervivencia.,"Extendidas: Suele tener raices superficiales, pero no son consideradas un problema",NT (Casi amenazado),
